"","HIGH_LOAD.BA.HIGH_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.BA.HIGH_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.BA.LOW_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.BA.LOW_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.FA.HIGH_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.FA.HIGH_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.FA.LOW_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.FA.LOW_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.SYM.HIGH_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.SYM.HIGH_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.SYM.LOW_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.SYM.LOW_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.BA.HIGH_SOA.TARGET_PRIME_RELATED","LOW_LOAD.BA.HIGH_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.BA.LOW_SOA.TARGET_PRIME_RELATED","LOW_LOAD.BA.LOW_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.FA.HIGH_SOA.TARGET_PRIME_RELATED","LOW_LOAD.FA.HIGH_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.FA.LOW_SOA.TARGET_PRIME_RELATED","LOW_LOAD.FA.LOW_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.SYM.HIGH_SOA.TARGET_PRIME_RELATED","LOW_LOAD.SYM.HIGH_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.SYM.LOW_SOA.TARGET_PRIME_RELATED","LOW_LOAD.SYM.LOW_SOA.TARGET_PRIME_UNRELATED"
"1",730.5,902,840.6,784,668.25,828.2,753.2,747.2,675,765.8,787.8,656.2,737.4,731,700,825.2,809.4,709.4,697,753.2,737.6,709.4,690.8,628.4
"10",699.8,761.5,790.4,789,621.25,675.4,915.6,890.5,646.8,775,734.4,868.8,853.2,918.6,972,737.6,790.4,800,878.2,809.4,778.2,712.2,650,964
"11",574.8,643.8,542,743.8,459.4,712.8,593.6,640.6,528.4,662.6,587.6,719,546.6,578.2,809.4,803.2,525,603.4,521.8,696.6,572,636.5,596.8,600
"12",722,776,972.2,625.2,621.8,777.25,750.25,734.4,750,887.8,784.4,896.8,812.6,847,824.8,802.333333333333,762.4,803,768.6,831.2,990.6,893.6,834.6,831.2
"13",615.4,609.5,584.6,624.8,637.6,581.4,587.8,547.2,527,578.4,618.8,625.2,609.4,665.4,708.333333333333,613.25,503,662.6,584.2,662.2,540.4,581.6,700,653.2
"14",906.25,871.25,594,721.6,597.75,941,1115.4,684.4,740.8,859.2,956.2,573.75,656,731.6,500,665.6,515.6,678,634.2,618.8,650,762.8,559.4,668.4
"15",840.6,784.4,946.8,821.4,1003.2,821.6,871.6,652.5,693.8,718.6,909.6,853,765.8,809.4,746.8,762,752.8,931.4,809.4,828.2,612.2,784.6,728,681.4
"16",734.2,625.2,660,902.5,862.6,687.6,894,984.4,856.2,740.6,910,809.2,680,803.2,815.8,993.4,718.8,768.6,912.2,999.8,681.4,793.4,697,668.8
"17",800.5,912.6,765.4,906.4,1006.4,912.6,796.6,853,918,887,759.4,906.4,803.4,825.2,784.4,837.4,937.4,731,978.4,693.8,869,1159.4,668.6,684.2
"18",906.2,898.75,790.4,863.25,1006,756.4,1006.2,918.6,700,775.2,1062.8,884.4,790.6,809.2,1000,778,715,778.4,728,847,980.75,1056.4,871.8,956
"19",572.2,650,697,868.8,631.4,678,612.6,677.8,637.6,597,631.4,840.8,603.4,709.2,625,640.4,570.5,672.4,559.4,590.4,615.8,678.2,619,787.6
"2",754,781,761.5,742.25,734.4,725,742.25,761.5,710.75,840.25,768.8,994.666666666667,712.6,884.4,996.6,746.5,743.8,995.75,875.2,918.6,1003,950.2,806.2,872.2
"20",1003,981.2,893.8,1243.8,1093.8,1168.8,881,1299.6,900,937.75,1015.4,1278.2,1134.2,1406.6,897,1090,1179.75,966,721.8,925,922,919,975.2,1178.2
"21",875.2,855.5,775,777.8,1005.8,874.8,700.2,743.6,753.4,905.8,695.5,828.2,1062.6,773.75,712.4,834.4,881.2,894,718.6,793.6,1028.2,840.6,778.4,937.2
"22",768.6,1049.8,1121.8,884.2,622,660.25,1381.2,1475.2,628,787.6,1040.6,1181.4,650,572,1171.8,1059.4,473,709.4,1009.4,1181.6,571.8,590,851.5,1332.25
"23",809,825,806.2,722.5,953.25,734.6,887,843.8,737.6,840.6,903.2,693.8,703.4,750,827.8,915.8,768.6,722,712.8,762.6,867.5,825,874.8,756.2
"24",724.8,700,722.2,749.75,728.4,581,618.8,665.6,799.8,894,978.2,890.6,922,587.4,759,997,822.2,734.2,715,906.2,703.2,893.6,665.2,746.6
"25",881,1246.25,1197,910.25,1272,1018.6,1372.2,1629.25,1012.6,1062.6,1234.4,1094,1056.2,1082.25,1097,1065.8,1097,796.8,1300.2,1078,1187.2,1003.75,1500,1306.2
"26",799.8,1040.6,739,672,819,846.8,625.5,585.75,825.2,890.4,671.75,604,825,843.6,769.25,621.8,815.6,881.6,729,672,815.2,909,812.4,719
