"","HIGH_LOAD.BA.HIGH_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.BA.HIGH_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.BA.LOW_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.BA.LOW_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.FA.HIGH_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.FA.HIGH_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.FA.LOW_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.FA.LOW_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.SYM.HIGH_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.SYM.HIGH_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.SYM.LOW_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.SYM.LOW_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.BA.HIGH_SOA.TARGET_PRIME_RELATED","LOW_LOAD.BA.HIGH_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.BA.LOW_SOA.TARGET_PRIME_RELATED","LOW_LOAD.BA.LOW_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.FA.HIGH_SOA.TARGET_PRIME_RELATED","LOW_LOAD.FA.HIGH_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.FA.LOW_SOA.TARGET_PRIME_RELATED","LOW_LOAD.FA.LOW_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.SYM.HIGH_SOA.TARGET_PRIME_RELATED","LOW_LOAD.SYM.HIGH_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.SYM.LOW_SOA.TARGET_PRIME_RELATED","LOW_LOAD.SYM.LOW_SOA.TARGET_PRIME_UNRELATED"
"1",600,1168,1036.33333333333,915.4,784.4,812.4,740.4,759.4,672,881.4,818.6,937.6,765.8,668.6,684.6,711,1240.8,831.4,828,978.2,946.6,584.2,627.8,1050
"10",896.6,899.8,840.6,886.75,734.2,918.8,678.4,844,869.2,984.6,649.8,999.8,790.6,793.8,677.8,578,631.4,915.8,781.4,787.6,1037.6,726.5,815.6,815.8
"100",797,950,947,1059.4,647,1071.8,853.6,949.8,771.6,978,1081.4,1134.4,943.6,1028.2,750.2,1175,976.75,831.4,960.75,1103.2,847,812.2,806.2,828
"101",822,754,859.6,562.6,859,953,612.4,745.75,722.25,710.75,599,725,668.8,833.333333333333,612.4,794,615.6,1178.4,681.4,590.8,849.8,1018.6,652.25,1012.6
"102",856.4,971.8,762.8,843.6,772,765.6,765.6,709.6,659.4,740.6,1050.75,846.8,843.6,696.6,793.6,933.5,709.4,837.6,695,772.2,784.4,850,744,899.8
"103",812.6,726.5,606.2,744.666666666667,511.5,640.4,706.2,653.6,571.8,737.4,603,647.2,609.2,640.75,571.8,660.25,484.4,587.8,506,606.2,525,659.6,643.6,550
"104",1137.4,797,903.4,906.4,803.2,681.2,754.25,731.2,734.6,921.8,950.2,987.4,1006.4,953.25,831,1044,828.4,856.2,969,671.8,790.2,809.4,912.6,1125.25
"105",643.6,652.25,594.2,664,574.8,693.8,575,620.75,550,621.6,559.6,668.25,634.6,581.2,621.8,681.2,615.6,624.75,600,586.25,624.8,628.2,512.8,543.6
"106",803,834.2,827.75,937.6,1084,837.4,784.2,737.6,837.4,837.4,750,612.4,809.6,652.25,789.25,803.2,703.25,784.4,906.6,806.2,781.25,718.8,712.8,800
"107",722,797,681.4,863.25,574,656.2,734.666666666667,975.2,812.333333333333,853.2,800,768.8,921.8,772,709.4,893.6,912.4,669,803,934,631.4,786.666666666667,809.4,843.6
"108",734.5,832,765.6,778.2,719,971.8,703.2,900.2,837.2,850,953,1034.4,759.6,840.6,698.75,837.6,822,712.4,671.8,696.8,718.8,746.8,681,931.2
"109",681.4,778,650,750.25,581.4,762.2,678.2,775,553,700,700.2,714.75,643.6,768.6,840.4,712.6,612.8,746.6,765.4,843.8,528.2,759.4,700,865.4
"11",759.4,838.666666666667,756.6,682.333333333333,724.8,675.75,743.6,753.4,834.4,731,584.4,765.2,640.75,690.6,684.4,718.8,643.6,665.8,718.8,663.75,753,671.5,660,728
"110",875.2,836,776,862.6,740.8,1112.4,988.25,668.6,1128.2,771.6,847,711,771.8,757.75,609.5,728.4,562.6,734.4,922,1015.6,750.2,1054.5,646.8,887
"111",778.2,789.25,765.4,772,903,831.2,726,647,765.6,792.75,640.6,893.8,690.4,728.2,862.6,702.8,825,687.6,836,844.25,853,700,631.6,881.2
"112",840.6,734.2,628.2,703,847.5,809.6,699.8,600,669,653.2,615.6,624.8,990.2,806.2,649.4,660,634.4,656.2,643.6,622.2,649.8,709,687.6,703.2
"113",753.75,648.5,706,769.5,725.2,778,740.8,728.2,690.8,734.4,619,772.2,775.2,790.6,631.4,809.6,615.8,699.8,669,665.2,721.8,612.4,681.2,546.8
"114",671.6,731.2,621,606.6,684.4,740.4,593.8,697,597,769.5,570.25,656.2,652.25,590.6,632.75,869,603,613,621.8,690.6,765.6,699.8,539,828.4
"115",743.8,712.6,777.25,801,708.333333333333,800,812.25,837.6,856,781.2,797,687.75,709.2,853.4,799.8,850,803,775.2,674.8,903.2,662.4,731.2,707,906.4
