"","HIGH_LOAD.BA.HIGH_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.BA.HIGH_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.BA.LOW_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.BA.LOW_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.FA.HIGH_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.FA.HIGH_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.FA.LOW_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.FA.LOW_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.SYM.HIGH_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.SYM.HIGH_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.SYM.LOW_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.SYM.LOW_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.BA.HIGH_SOA.TARGET_PRIME_RELATED","LOW_LOAD.BA.HIGH_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.BA.LOW_SOA.TARGET_PRIME_RELATED","LOW_LOAD.BA.LOW_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.FA.HIGH_SOA.TARGET_PRIME_RELATED","LOW_LOAD.FA.HIGH_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.FA.LOW_SOA.TARGET_PRIME_RELATED","LOW_LOAD.FA.LOW_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.SYM.HIGH_SOA.TARGET_PRIME_RELATED","LOW_LOAD.SYM.HIGH_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.SYM.LOW_SOA.TARGET_PRIME_RELATED","LOW_LOAD.SYM.LOW_SOA.TARGET_PRIME_UNRELATED"
"1",1036.2,1226.2,926.6,788,818.75,970.2,599,914.6,1098.2,818.75,1051.6,767,1141.8,820.4,758.2,670.6,1009.75,832.8,580.2,767.4,1061,1072.75,693,583.6
"11",883.4,786.2,789.4,873.6,707,998.5,741.5,706,746,858,764.4,926.6,889.666666666667,915.333333333333,650.333333333333,749.333333333333,748.4,733.25,836.4,911.2,792,706,845.6,842.25
"12",702.2,823,614.8,690.5,1029.6,881.25,895.2,798.8,864.4,942.2,611.4,670.6,758,805,596.2,814.2,752,726.8,561.6,583.2,742.4,693.75,593,642.4
"15",926.8,873.4,1107.4,957.8,736.6,789.4,848.4,911,686.4,873.8,761.6,898.4,696,885.25,960.8,998.5,839.2,725.25,755.2,764.2,758,883,758,767.6
"17",811.2,833.2,686.4,916.5,773.4,836,807.6,780,898.6,892.2,739.2,879.8,745,791.5,1029.4,758.666666666667,877.5,758.2,658.2,795.6,804.8,923.6,808.2,755
"18",1042.2,1135.6,1071.33333333333,951.6,758.2,1401.2,786,1035.8,1017,1222.8,1330.25,1347.6,923.6,920.6,1054.4,885.25,1120.2,951.8,1092,982.75,933,939.2,789.4,1039
"19",627.6,670.8,674.75,745.8,698.8,690.25,678.5,799.5,705.4,767.8,739.4,804.8,733.4,801.8,736.4,745.6,661.4,696,652.4,749,776.6,749,605.2,683.4
"2",889,982.666666666667,783,1376.5,770.6,1322,1207.4,1054.6,939,842.4,805,895.6,814.2,768.5,721.75,739.2,914.4,995.2,692.8,858,717.6,1157.4,679.8,819
"20",876.8,1123.2,795.75,1048.2,976.4,889.2,992.4,1055,939,947.5,928.25,901.6,869.5,923.4,967.6,927,908,911.4,972.333333333333,973.6,1092,877.5,861,883.2
"21",876.8,920.4,806,1120,876.6,1064,767.6,1104.4,1254.4,1076.6,939.2,851.6,907.8,826.8,1169.8,1007.8,926.8,836.2,976.4,908,879.4,917.2,692.6,858
"22",804.8,758.2,689.4,1029.8,739.4,758,690.25,901.6,705,845.4,900.75,879.8,975,811.25,873.8,736.4,680.4,714.2,708.2,845.4,673.8,889.4,820.4,873.8
"23",702,749,842.8,826.8,761,767.6,892.4,951.6,823.8,936,998.4,698.8,758.2,846.5,689.6,787.75,627,789.4,717.6,614.2,749,798.8,836,904.8
